id,release_date,popularity,budget,revenue,runtime,title
1022789,2024-06-11,3553.5,200000000,0,97,Inside Out 2
653346,2024-05-08,3327.202,160000000,359772773,145,Kingdom of the Planet of the Apes
573435,2024-06-05,2520.868,100000000,130151244,115,Bad Boys: Ride or Die
1001311,2024-06-05,2692.396,0,0,104,Under Paris
823464,2024-03-27,1610.826,150000000,567156493,115,Godzilla x Kong: The New Empire
955555,2023-05-31,1435.951,0,83410298,105,The Roundup: No Way Out
929590,2024-04-10,1346.112,50000000,114097977,109,Civil War
626412,2024-01-10,1163.727,0,9800000,122,Alienoid: Return to the Future
150540,2015-06-17,1529.965,175000000,857611174,95,Inside Out
974635,2024-05-16,943.363,8800000,1139025,116,Hit Man
719221,2024-05-01,1052.546,8000000,45313000,92,Tarot
614933,2024-05-23,1014.933,100,0,120,Atlas
746036,2024-04-24,800.717,125000000,166627315,126,The Fall Guy
38700,2020-01-15,791.696,90000000,426505244,124,Bad Boys for Life
1025463,2024-05-28,743.097,0,0,110,Bionic
1011985,2024-03-02,734.813,80000000,539271347,94,Kung Fu Panda 4
786892,2024-05-22,660.621,168000000,144409000,149,Furiosa: A Mad Max Saga
1263421,2024-06-05,660.51,0,0,60,Baki Hanma VS Kengan Ashura
1136318,2023-12-01,646.476,0,0,80,Battle Over Britain
437342,2024-04-03,627.181,30000000,53689531,119,The First Omen
